,ingredient,category,description,rating,rating_num
1482,sambucus nigra,"antioxidants, plant extracts","When taken orally, this has antioxidant properties (Source: Journal of Agricultural Food...",Best,5.0
1483,sambucus nigra (elderberry) fruit extract,"antioxidants, plant extracts",,Best,5.0
1484,sandalwood oil,"plant extracts, fragrance: synthetic and fragrant plant extracts, sensitizing",Fragrant oil that can cause skin-sensitizing reactions...,Poor,-1.0
1485,santalum album seed extract,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts","Latin name for sandalwood extract, which is used in cosmetics as a fragrance. It can have...",Average,1.0
1486,sapindus mukurossi peel extract,"skin-soothing, plant extracts, antioxidants",A plant extract that is a natural source of saponin...,Good,3.0
1487,saponaria officinalis extract,"plant extracts, cleansing agents",,Good,3.0
1488,saponin,"skin-soothing, plant extracts, antioxidants","Group of natural carbohydrates, found in plants, that have considerable potential...",Good,3.0
1489,sarcosine,hydration,,Good,3.0
1490,sargassum filipendula extract,"antioxidants, plant extracts",,Good,3.0
1491,sausurrea oil,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts",Also called costus oil. Volatile oil and fragrant component used in cosmetics; it can be a skin...,Poor,-1.0
1492,saxifraga sarmentosa extract,plant extracts,,Average,1.0
1493,schisandra chinensis (magnolia) fruit extract,"antioxidants, plant extracts","Also known as five flavor fruit and Chinese magnolia vine, magnolia fruit is a small red berry loaded with beneficial compounds.",Best,5.0
1494,sclareolide,"plant extracts, fragrance: synthetic and fragrant plant extracts",Fermented from clary sage and used as a fragrant component in cosmetics.,Poor,-1.0
1495,sclerocarya birrea,"emollients, skin-replenishing","More commonly known as marula oil, Sclerocarya birrea oil is a non-fragrant plant oil that's a rich source...",Best,5.0
1496,sclerotium gum,thickeners/emulsifiers,"A plant-derived, gel-like polysaccharide (sugar-based) ingredient that’s used in cosmetics to thicken and stabilize formulas. It is considered safe as used in cosmetics, and is similar to xanthan gum.",Good,3.0
1497,scutellaria baicalensis root extract,"skin-soothing, plant extracts, antioxidants",Scutellaria baicalensis root extract comes from a flowering plant native to China.,Good,3.0
1498,sd alcohol,sensitizing,,Poor,-1.0
1499,sd alcohol 40-2,sensitizing,Denatured alcohol used as a solvent. It can be drying and sensitizing to skin when one of the main...,Poor,-1.0
1500,sea buckthorn,"antioxidants, plant extracts","Also known as seaberry, sea buckthorn is a good source of vitamin C as well as various B vitamins, and vitamin E.",Best,5.0
1501,seamollient,"antioxidants, thickeners/emulsifiers, plant extracts, emollients",Trade name for an algae extract.,Good,3.0
1502,sea salt,"scrub agents, sensitizing","Can be effective as a topical scrub, but if left on skin it can increase skin sensitivity to UVB...",Average,1.0
1503,seaweed,"antioxidants, plant extracts, thickeners/emulsifiers, emollients","Group of sea plants (scientific name: algae) of all sizes and shapes, and having a gelatin-like...",Good,3.0
1504,sea whip extract,skin-soothing,"Extract from a creature that inhabits coral reefs, known for its soothing properties...",Best,5.0
1505,sebacic acid,miscellaneous,Used as a pH adjuster.,Good,3.0
1506,selenium,antioxidants,Mineral considered to be a potent antioxidant...,Best,5.0
1507,serenoa serrulata extract,"skin-soothing, plant extracts",,Average,1.0
1508,sericin,"antioxidants, plant extracts",Scientific name for silk protein.,Good,3.0
1509,serine,"antioxidants, skin-replenishing",,Good,3.0
1510,sesamum indicum,"plant extracts, emollients",,Best,5.0
1511,sesamum indicum (sesame) seed oil,"plant extracts, emollients",Sesame oil is a non-fragrant plant oil that is a good source of monounsaturated and polyunsaturated fats along with vitamin E and lignans.,Best,5.0
1512,sesquioleate,"thickeners/emulsifiers, emollients",Used in cosmetics as a thickening agent and emollient.,Good,3.0
1513,shea butter,"plant extracts, emollients, antioxidants",Shea butter is a plant lipid extracted from the karite tree that is used as an emollient in cosmetics.,Best,5.0
1514,siegesbeckia orientalis,plant extracts,Chinese herb (also known as St. Paul’s wort) for which there is no research showing that it has any...,Average,1.0
1515,silanetriol,uncategorized,,Good,3.0
1516,silica,"thickeners/emulsifiers, absorbent","Mineral found abundantly in sandstone, clay, and granite, as well as in parts of plants and...",Good,3.0
1517,silica dimethyl silylate,"silicones, slip agents",Used as a slip and suspending agent.,Good,3.0
1518,silica silylate,"emollients, thickeners/emulsifiers, texture enhancer","Silica silylate works as a binder, thickening agent, and emollient in cosmetics.",Good,3.0
1519,silicate,"thickeners/emulsifiers, absorbent",Inorganic salt that has potent absorbing and thickening properties.,Good,3.0
1520,silicone,"silicones, slip agents, emollients",Substance derived from silica (sand is a silica). The unique fluid properties of silicone give it a...,Good,3.0
1521,silk,antioxidants,,Good,3.0
1522,silk powder,"absorbent, slip agents",Synthetically derived powder used as an absorbent and slip agent.,Good,3.0
1523,silk protein,antioxidants,"Protein substance (also called sericin) formed by converting silk, which is the soft, lustrous...",Good,3.0
1524,siloxane,"silicones, slip agents, emollients",,Good,3.0
1525,silt,absorbent,A sediment obtained from various bodies of water. Silt’s absorbent nature helps it function to...,Good,3.0
1526,silver,sensitizing,"Metallic element that in cosmetics can have disinfecting properties; however, prolonged contact can...",Poor,-1.0
1527,silver chloride,sensitizing,An inorganic salt that has no known function in cosmetics.,Average,1.0
1528,silver tip white tea leaf extract,"skin-soothing, plant extracts, antioxidants",,Best,5.0
1529,silybum marianum (milk thistle) fruit extract,"antioxidants, plant extracts",Silymarin marianum is a plant whose many components have pronounced antioxidant and skin-calming ability.,Best,5.0
1530,silybum marianum extract,"plant extracts, antioxidants",,Best,5.0
1531,simethicone,"silicones, slip agents","Mixture of dimethicone with silica; related to silicones, but used as an antifoaming agent.",Good,3.0
1532,simmondsia chinensis,"plant extracts, emollients, skin-replenishing",,Best,5.0
1533,skin-replenishing ingredients,skin-replenishing,"These are skincare ingredients that help enrich skin’s surface, drenching it with revitalizing hydration and keeping it there.",Best,5.0
1534,skin-restoring ingredients,"antioxidants, skin-restoring",Skincare ingredients that nourish skin’s surface in a way that helps transform it on many levels...,Best,5.0
1535,skullcap extract,"skin-soothing, antioxidants, plant extracts",Herbal extract from Scutellaria baicalensis that has antioxidant soothing properties...,Good,3.0
1536,slip agent,slip agents,Term used to describe a range of ingredients that help other ingredients spread over the skin and...,Good,3.0
1537,slippery elm bark,"skin-soothing, plant extracts",Can be a skin-soothing ingredient.,Good,3.0
1538,soap,"cleansing agents, sensitizing",True “soaps” are regulated by the Consumer Product Safety Commission and are not required to list...,Poor,-1.0
1539,soapberry extract,"skin-soothing, antioxidants, plant extracts",Extract from the tree Sapindus saponaria. The berries contain a good amount of Saponins.,Good,3.0
1540,soapwort,"plant extracts, cleansing agents",Plant from which is derived an extract with detergent cleansing properties.,Good,3.0
1541,sodium acetate,uncategorized,"The sodium salt derived from acetic acid, it serves as a buffering agent when used in small amounts.",Good,3.0
1542,sodium acrylate/acryloydimethyl taurate copolymer,thickeners/emulsifiers,Synthetic polymer used as a stabilizing and suspending agent and as a thickening agent.,Good,3.0
1543,sodium acrylates copolymer,"film-forming agents, texture enhancer","Sodium acrylates copolymer is a synthetic, acrylic-based polymer that functions in cosmetics as a texture enhancer, binder, and film-forming agent.",Good,3.0
1544,sodium ascorbate,"antioxidants, vitamins",,Best,5.0
1545,sodium ascorbyl phosphate,"skin-soothing, vitamins, antioxidants","Sodium ascorbyl phosphate is a stable, water-soluble form of vitamin C that functions as an antioxidant.",Best,5.0
1546,sodium benzoate,preservatives,Salt of benzoic acid used as a preservative.,Good,3.0
1547,sodium bicarbonate,"miscellaneous, scrub agents","A synthetic inorganic salt more commonly known as baking soda. It has many functions in cosmetics, including pH adjuster, buffering agent, and abrasive, such as in face or body scrubs.",Good,3.0
1548,sodium bisulfite,sensitizing,Used in acid-type permanent waves to alter the shape of hair. It is less damaging than alkaline...,Average,1.0
1549,sodium borate,sensitizing,,Poor,-1.0
1550,sodium c14-16 olefin sulfonate,"cleansing agents, sensitizing","Can be derived from coconut. Used primarily as a detergent cleansing agent, but is potentially...",Poor,-1.0
1551,sodium carbomer,film-forming/holding agents,A blend of sodium (salt) and carbomer that functions as a stabilizer and film-forming agent.,Good,3.0
1552,sodium carbonate,"absorbent, sensitizing",Absorbent salt used in cosmetics; it can also be a skin sensitizer.,Poor,-1.0
1553,sodium carboxymethyl beta-glucan,thickeners/emulsifiers,"A carbohydrate ingredient with a gel-like texture, it functions as a binding agent and texture...",Good,3.0
1554,sodium cetearyl sulfate,cleansing agents,A mixture of stearyl and cetyl sulfate that funtions as a surfactant.,Good,3.0
1555,sodium chloride,scrub agents,More popularly known as common table salt. Used primarily as a binding agent in skincare products...,Good,3.0
1556,sodium chondroitin sulfate,skin-replenishing,"Derived from natural mucopolysaccharides, it functions as a skin-softening agent and helps...",Best,5.0
1557,sodium citrate,"antioxidants, preservatives","Used primarily to control the pH level of a product, this ingredient also has antioxidant and...",Good,3.0
1558,sodium cocoamphoacetate,cleansing agents,A gentle cleansing agent derived from coconut fatty acids. It functions as a cleansing agent and...,Good,3.0
1559,sodium cocoate,"cleansing agents, sensitizing",Used as a cleansing agent primarily in soaps. It can be drying and sensitizing for skin.,Poor,-1.0
1560,sodium cocoyl amino acids,cleansing agents,The salt form of amino acids...,Good,3.0
1561,sodium cocoyl glutamate,cleansing agents,A cleansing agent derived from coconut oil. This ingredient is also used to help soften (remove...,Good,3.0
1562,sodium cocoyl glycinate,"cleansing agents, skin-softening",Sodium cocoyl glycinate is an amino acid-derived cleansing agent and skin-softening ingredient in skin care and hair care products.,Good,3.0
1563,sodium cocoyl isethionate,cleansing agents,"Derived from coconut, it is a mild detergent cleansing agent.",Good,3.0
1564,sodium dehydroacetate,preservatives,Organic salt used as a preservative.,Good,3.0
1565,sodium dilauramidoglutamide lysine,"emulsifiers, skin-replenishing",A plant-derived ingredient that helps replenish skin and hair...,Good,3.0
1566,sodium gluconate,"skin-softening, miscellaneous","The salt form of gluconic acid, sodium gluconate is a mild acid produced from the sugar glucose.",Good,3.0
1567,sodium hexametaphosphate,"thickeners/emulsifiers, preservatives, cleansing agents","Salt with multiple functions in cosmetics. It can act as a detergent, an emulsifier, a texturizer,...",Good,3.0
1568,sodium hyaluronate,"skin-replenishing, antioxidants, skin-restoring",The salt form of skin-replenishing ingredient hyaluronic acid.,Best,5.0
1569,sodium hyaluronate crosspolymer,"skin-replenishing, film-forming agents, film-forming/holding agents",A modified form of skin-replenishing hyaluronic acid attached to a polymer structure,Best,5.0
1570,sodium hydroxide,"cleansing agents, sensitizing","Also known as lye, it is a highly alkaline ingredient used in small amounts in cosmetics to...",Average,1.0
1571,sodium hydroxymethylglycinate,"preservatives, hydration","Derived from amino acids and used as a skin- and hair-softening agent, and to a lesser extent as...",Poor,-1.0
1572,sodium lactate,miscellaneous,Sodium salt of lactic acid. Used primarily as a hydrating and buffering agent (to adjust a...,Good,3.0
1573,sodium lactobionate,preservatives,"White, crystalline powder used to synthesize other chemicals. May function as a preservative in...",Average,1.0
1574,sodium laureth-13 carboxylate,cleansing agents,Used primarily as a detergent cleansing agent.,Good,3.0
1575,sodium laureth sulfate,cleansing agents,Can be derived from coconut; it is used primarily as a detergent cleansing agent. It is considered...,Poor,-1.0
1576,sodium lauroamphoacetate,cleansing agents,Mild surfactant also used as a lather agent.,Good,3.0
1577,sodium lauroyl lactylate,"thickeners/emulsifiers, cleansing agents","Used as an emulsifier and mild thickening agent in cosmetics. In higher concentrations, it...",Good,3.0
1578,sodium lauroyl oat amino acids,"cleansing agents, skin-soothing",A skin-soothing salt created by condensing the chloride form of a fatty acid with amino acids derived from oats.,Best,5.0
1579,sodium lauroyl sarcosinate,"cleansing agents, emulsifiers",Sodium lauroyl sarcosinate is a synthetic or plant-derived surfactant (cleansing agent) that also works as an emulsifier.,Good,3.0
1580,sodium lauryl glucose carboxylate,cleansing agents,A gentle cleansing agent that may be derived from coconut or made synthetically.,Good,3.0
1581,sodium lauryl sulfate,"thickeners/emulsifiers, cleansing agents, sensitizing",Versatile ingredient composed of several non-volatile alcohols. Functions primarily as a surfactant...,Poor,-1.0
1582,sodium levulinate,"skin-softening, preservatives","Sodium levulinate is the salt of levulinic acid, a synthetic organic acid that helps condition and soften skin.",Good,3.0
1583,sodium metabisulfite,"antioxidants, preservatives, sensitizing",Reducing agent that alters the structure of hair. It can also be used as a preservative in...,Average,1.0
1584,sodium methyl cocoyl taurate,cleansing agents,Mild surfactant.,Good,3.0
1585,sodium methyl taurate,cleansing agents,Mild surfactant often combined with...,Good,3.0
1586,sodium myreth sulfate,cleansing agents,Detergent cleansing agent similar to sodium laureth sulfate or ammonium laureth sulfate...,Good,3.0
1587,sodium palmate,cleansing agents,A soap ingredient created by the salts of acids derived from palm oil. May be naturally-derived or...,Poor,-1.0
1588,sodium palmitoyl sarcosinate,"cleansing agents, hydration","Sodium palmitoyl sarcosinate is the salt of palmitoyl sarcosinate, which is derived from the amino acid derivative sarcosine.",Good,3.0
1589,sodium palm kernelate,cleansing agents,,Poor,-1.0
1590,sodium pca,skin-replenishing,PCA (pyrrolidone carboxylic acid) is a natural component of skin that is also a very good...,Best,5.0
1591,sodium peg-7 olive oil carboxylate,"cleansing agents, emollients",A mild surfactant formed by reacting fatty acids from olive oil esters from polyethylene glycol...,Good,3.0
1592,sodium phytate,miscellaneous,"The salt form of the corn-derived plant component phytic acid, used as a chelating agent in...",Good,3.0
1593,sodium polyacrylate,"thickeners/emulsifiers, film-forming/holding agents, emollients, absorbent","A synthetic polymer with multiple functions, including film-forming agent, stabilizer, absorbent,...",Good,3.0
1594,sodium polyacrylate starch,"absorbent, thickeners/emulsifiers, texture enhancer",Sodium polyacrylate starch is a mixture of a natural starch combined with a synthetic acrylate polymer.,Good,3.0
1595,sodium salicylate,miscellaneous,"Salt form of salicylic acid (BHA). Because it is not the acid form of salicylate (i.e., salicylic...",Average,1.0
1596,sodium silicate,sensitizing,Highly alkaline and potentially sensitizing mineral used in cosmetics...,Poor,-1.0
1597,sodium stearoyl glutamate,"emulsifiers, hydration",Sodium stearoyl glutamate is a synthetic or animal-derived ingredient that is added to cosmetics to condition skin or work as an emulsifier.,Good,3.0
1598,sodium stearoyl lactylate,"emulsifiers, texture enhancer",A synthetic or animal-derived ingredient...,Good,3.0
1599,sodium sulfite,"preservatives, sensitizing",Reducing agent that alters the structure of hair. It can also be used as a preservative in cosmetic...,Average,1.0
1600,sodium tallowate,"miscellaneous, cleansing agents",Sodium salt of tallow.,Poor,-1.0
1601,sodium thioglycolate,sensitizing,"A synthetic ingredinet that functions as a reducing agent in cosmetics, most typically hair-removal lotions...",Poor,-1.0
1602,sodium trideceth sulfate,cleansing agents,,Good,3.0
1603,solanum lycopersicum extract,"antioxidants, sensitizing, plant extracts",,Average,1.0
1604,solanum tuberosum extract,"thickeners/emulsifiers, texture enhancer",Extract that is more commonly known as potato starch. Used as a thickening agent and texture enhancer in cosmetics.,Good,3.0
1605,solvent,miscellaneous,"Describes a large group of ingredients, including water, that are used to dissolve or break down...",Good,3.0
1606,sonojell,"skin-soothing, emollients",Trade name for petrolatum.,Good,3.0
1607,soothing agent,skin-soothing,Any ingredient that reduces certain signs of sensitivity in skin...,Best,5.0
1608,sorbeth-230 tetraoleate,"cleansing agents, emulsifiers, thickeners/emulsifiers",Sorbeth-230 tetraoleate is a mixture of oleic acid with sorbitol derivatives that can help thicken cosmetic formulas.,Good,3.0
1609,sorbic acid,preservatives,Preservative derived from mountain ash berries or manufactured synthetically. Sorbic acid is used...,Good,3.0
1610,sorbitan laurate,"cleansing agents, emulsifiers",Sorbitan laurate is an ester that works as a cleansing agent and emulsifier.,Good,3.0
1611,sorbitan oleate,"thickeners/emulsifiers, cleansing agents",Synthetic or animal-derived ingredient used as an emulsifier and cleansing agent.,Good,3.0
1612,sorbitan olivate,"cleansing agents, emulsifiers",Sorbitan olivate is a mixture of the fatty acids from olive oil plus a sugar known as sorbitol.,Good,3.0
1613,sorbitan sesquioleate,thickeners/emulsifiers,,Good,3.0
1614,sorbitan stearate,thickeners/emulsifiers,Used to thicken and stabilize cosmetic formulations.,Good,3.0
1615,sorbitol,"thickeners/emulsifiers, hydration, slip agents",Sorbitol is a type of sugar that can be created synthetically or derived from natural sources.,Best,5.0
1616,soy extract,"skin-soothing, plant extracts, antioxidants",Potent antioxidant and soothing agent for skin...,Best,5.0
1617,soy isoflavones,"skin-soothing, plant extracts, antioxidants",,Best,5.0
1618,soy oil,"skin-soothing, antioxidants, plant extracts, emollients",Emollient oil similar to all nonfragrant plant oils.,Best,5.0
1619,spearmint oil,"plant extracts, sensitizing, fragrance: synthetic and fragrant plant extracts","Fragrant, volatile oil that can cause skin sensitivity.",Poor,-1.0
1620,spf,miscellaneous,,Best,5.0
1621,sphingolipids,"skin-restoring, skin-replenishing",Sphingolipids are complex lipids (fats) that function as skin-replenishing and conditioning ingredients...,Best,5.0
1622,spiraea ulmaria (meadowsweet) extract,"skin-soothing, plant extracts, antioxidants","Spiraea ulmaria extract, commonly known as meadowsweet, is a plant whose various parts have been shown to calm factors in skin that lead to signs of irritation.",Best,5.0
1623,spirulina,"antioxidants, thickeners/emulsifiers, plant extracts, emollients",,Good,3.0
1624,squalane,"hydration, antioxidants, skin-replenishing, emollients",Squalane is a moisturizing ingredient that’s also a source of skin-replenishing fatty acids and antioxidants.,Best,5.0
1625,squalene,"antioxidants, skin-replenishing, emollients",Oil derived from shark liver or from plants (usually olives). It is a natural component...,Best,5.0
1626,st. john's wort,"antioxidants, plant extracts",Contains several components that are harmful to skin in the presence of sunlight (Sources: Planta...,Good,3.0
1627,star anise,"antioxidants, sensitizing, fragrance: synthetic and fragrant plant extracts",,Poor,-1.0
1628,steapyrium chloride,miscellaneous,Antistatic agent used in hair-care products.,Good,3.0
1629,stearalkonium chloride,miscellaneous,Antistatic ingredient used in hair-care products to control flyaways and aid in helping a brush or...,Good,3.0
1630,stearalkonium hectorite,miscellaneous,Used as a suspending agent.,Good,3.0
1631,stearates,"thickeners/emulsifiers, emollients, skin-replenishing",,Good,3.0
1632,steareth-20,cleansing agents,"Derived from the benign fatty ingredient stearyl alcohol, this functions primarily as a surfactant...",Good,3.0
1633,stearic acid,"thickeners/emulsifiers, emollients, skin-replenishing",Fatty acid used as an emollient and emulsifier...,Good,3.0
1634,stearyl alcohol,"thickeners/emulsifiers, emollients",Fatty alcohol used as an emollient and to help keep other ingredients intact in a formulation.,Good,3.0
1635,stearyl dimethicone,"silicones, slip agents",Stearyl dimethicone is a synthetic skin-conditioning agent that's a siloxane polymer...,Good,3.0
1636,stearyl glycyrrhetinate,"skin-soothing, plant extracts","The fatty acid form of the skin soothing glycyrrhetinic acid, which is derived from licorice.",Best,5.0
1637,stearyl methicone,"silicones, emollients, slip agents",Silicone polymer used as a skin-conditioning or occlusive agent.,Good,3.0
1638,stearyl stearate,"emollients, texture enhancer",A plant-based wax prepared with natural fatty acids combined with synthetic fatty alcohols.,Good,3.0
1639,styrax benzoin,preservatives,,Poor,-1.0
1640,styrene/acrylates copolymer,film-forming/holding agents,Synthetic polymer.,Good,3.0
1641,sucrose,"skin-replenishing, hydration",Monosaccharide that has hydrating properties for skin.,Good,3.0
1642,sucrose stearate,"cleansing agents, emollients, emulsifiers",Sucrose stearate is an ester of stearic acid and sugar that works as an emollient and cleansing agent.,Good,3.0
1643,sugarcane extract,plant extracts,"Ingredients like sugarcane extract, fruit extracts, mixed fruit extracts, and milk solids may claim...",Average,1.0
1644,sulfates,cleansing agents,"Sulfates are a group of ingredients that have many consumers worried but in truth, misinformation, not sulfates, are the actual problem...",Good,3.0
1645,sulfur,sensitizing,Disinfectant agent that can be a potent skin sensitizer...,Poor,-1.0
1646,sunflower seed oil,"plant extracts, emollients",Non-volatile plant oil used as an emollient in cosmetics.,Best,5.0
1647,sun protection factor,miscellaneous,"Most commonly seen as SPF, it is a number that is assigned to a product that identifies its ability...",Best,5.0
1648,superoxide dismutase,antioxidants,Enzyme considered to be an antioxidant...,Best,5.0
1649,surfactant,cleansing agents,Shortened term for surface active agent. Surfactants degrease and emulsify oils and fats and...,Good,3.0
1650,sweet almond,"emollients, plant extracts","Most often used in its oil form, this ingredient is expressed from almonds. Also used as an...",Good,3.0
1651,sweet almond oil,emollients,"Emollient, non-fragrant plant oil.",Good,3.0
1652,symphytum officinale extract,"skin-soothing, plant extracts, sensitizing",,Poor,-1.0
1653,synthetic beeswax,"thickeners/emulsifiers, emollients",An artificial form of beeswax composed of a mixture of alcohol esters...,Good,3.0
1654,synthetic fluorophlogopite,"thickeners, texture enhancer",Synthetic fluorophlogopite is a synthetic mineral material used in cosmetics to add bulk and to thicken emulsions.,Good,3.0
1655,synthetic wax,"miscellaneous, texture enhancer",A wax derived from a mixture of various oils. It functions as a binding and stabilizing agent.,Good,3.0
1656,szechuan peppercorn,"plant extracts, sensitizing","From a plant native to Szechuan Province in China. It grows on trees, and so differs from black...",Poor,-1.0
1657,talc,miscellaneous,Naturally occurring silicate mineral (any group of substances containing negative ions composed of...,Average,1.0
1658,tallow,miscellaneous,"Substance extracted from the fatty deposits of animals, especially from suet (the fat of cattle and...",Poor,-1.0
1659,tamanu oil,"skin-soothing, hydration, plant extracts","From a tree native to Polynesia. It is reputed to have wondrous skin-restoring properties, as well…",Good,3.0
1660,tanacetum parthenium,"skin-soothing, plant extracts, sensitizing",,Average,1.0
1661,tangerine oil,"plant extracts, fragrance: synthetic and fragrant plant extracts, sensitizing","Fragrant, volatile citrus oil that can be a skin sensitizer…",Poor,-1.0
1662,tannic acid,antioxidants,Polyphenol that's considered a very good antioxidant…,Best,5.0
1663,tapioca starch,"thickeners, texture enhancer",,Good,3.0
1664,tartaric acid,exfoliant,"Tartaric acid is a naturally-occurring crystalline organic acid found in many plants, including grapes and tamarinds.",Best,5.0
1665,tea,miscellaneous,,Good,3.0
1666,tea-lauryl sulfate,"thickeners/emulsifiers, sensitizing, cleansing agents","While there is abundant research showing sodium lauryl sulfate is a sensitizing cleansing agent,...",Poor,-1.0
1667,tea tree oil,"skin-soothing, antioxidants, plant extracts","Also known as Melaleuca, from the name of its native Australian plant source, Melaleuca alternifolia.",Good,3.0
1668,terephthalylidene dicamphor sulfonic acid,sunscreen actives,,Best,5.0
1669,terminalia chebula fruit extract,"antioxidants, plant extracts","Terminalia chebula is an Ayurvedic plant extract that’s native to South Asia, where it’s known as “The King of Medicine”.",Best,5.0
1670,tetradibutyl pentaerithrityl hydroxyhydrocinnamate,antioxidants,,Good,3.0
1671,tetrahexyldecyl ascorbate,"antioxidants, vitamins",Tetrahexyldecyl ascorbate is a stable form of vitamin C that is considered an analogue of L-ascorbic acid. Unlike pure vitamin C...,Best,5.0
1672,tetrahydrobisdemethoxycurcumin,"skin-soothing, antioxidants, plant extracts",Antioxidant and skin-soothing plant extract.,Best,5.0
1673,tetrahydrobisdemethoxydiferuloylmethane,antioxidants,A synthetic antioxidant derived from curcumin.,Best,5.0
1674,tetrahydrodemethoxycurcumin,"skin-soothing, plant extracts, antioxidants",,Best,5.0
1675,tetrahydrodemethoxydiferuloylmethane,"skin-soothing, antioxidants",A synthetic antioxidant that provides the effects of the antioxidant curcumin but...,Best,5.0
1676,tetrahydrodiferuloylmethane,"skin-soothing, antioxidants",Antioxidant and skin-soothing plant extract.,Best,5.0
1677,tetrahydromethoxycurcumin,"skin-soothing, antioxidants",Antioxidant and skin-soothing plant extract.,Best,5.0
1678,tetrahydroxypropyl ethylenediamine,miscellaneous,,Good,3.0
1679,tetrapeptide-30,skin-restoring,Tetrapeptide-30 is a peptide that targets the appearance of discolorations and uneven skin tone.,Best,5.0
1680,tetrasodium edta,miscellaneous,Chelating agent used to prevent minerals present in formulations from bonding to other ingredients.,Good,3.0
1681,tetrasodium etidronate,miscellaneous,Used as a chelating agent in cosmetics to prevent varying mineral components from binding together...,Good,3.0
1682,tetrasodium glutamate diacetate,miscellaneous,Tetrasodium glutamate diacetate is a chelating agent that can boost the effectiveness of preservatives.,Good,3.0
1683,theobroma cacao seed butter,"plant extracts, emollients",,Best,5.0
1684,thiamine hcl,vitamins,Vitamin B1. There is no research showing this to be effective when applied topically on skin.,Good,3.0
1685,thickening agent,thickeners/emulsifiers,"Substances that can have a soft to hard waxlike texture or a creamy, emollient feel, and that can...",Good,3.0
1686,thioctic acid,antioxidants,Technical name for the antioxidant alpha lipoic acid. Unlike many antioxidants that are either...,Best,5.0
1687,thiodipropionic acid,antioxidants,"Acid-based synthetic antioxidant. There is no research pertaining to its benefit for skin, but in...",Average,1.0
1688,thiotaurine,"antioxidants, skin-replenishing","Amino acid. Potentially, it can have antioxidant properties for skin...",Good,3.0
1689,threonine,"antioxidants, skin-replenishing",,Good,3.0
1690,thyme extract,"antioxidants, sensitizing, plant extracts",Extract derived from the leaf or flower of the thyme plant. It can have potent antioxidant...,Average,1.0
1691,thyme oil,"antioxidants, plant extracts, sensitizing","The most concentrated part of the thyme plant, and a source of antioxidants, some of which...",Poor,-1.0
1692,thymus hydrolysate,"miscellaneous, hydration","Form of animal thymus derived by acid, enzyme, or other methods of hydrolysis. It can have...",Average,1.0
1693,thymus serpillum extract,"antioxidants, sensitizing, plant extracts",Extract of wild thyme.,Poor,-1.0
1694,thymus vulgaris,"antioxidants, plant extracts, sensitizing",,Average,1.0
1695,thymus vulgaris oil,"antioxidants, sensitizing, fragrance: synthetic and fragrant plant extracts",Thymus vulgaris oil is more commonly known as thyme oil.,Poor,-1.0
1696,tilia cordata,"antioxidants, plant extracts",,Best,5.0
1697,titanium dioxide,"sunscreen actives, coloring agents/pigments, thickeners/emulsifiers","Inert earth mineral used as a thickening, whitening, lubricating, and sunscreen ingredient in...",Best,5.0
1698,tocopherol,"antioxidants, vitamins",,Best,5.0
1699,tocopherol acetate,"antioxidants, vitamins",,Best,5.0
1700,tocopheryl acetate,"antioxidants, vitamins",,Best,5.0
1701,tocopheryl lineolate,"antioxidants, vitamins",,Best,5.0
1702,tocotrienols,"antioxidants, vitamins",Potent forms of vitamins E that are considered stable and powerful antioxidants. These forms of...,Best,5.0
1703,tomato extract,"antioxidants, sensitizing, plant extracts",Extract that has weak antioxidant properties...,Average,1.0
1704,tormentil extract,"plant extracts, sensitizing","Plant that can be irritating due to its tannin content, which causes skin constriction.",Poor,-1.0
1705,tragacanth,"thickeners/emulsifiers, texture enhancer",Natural gum used as a thickener in cosmetics.,Good,3.0
1706,tranexamic acid,miscellaneous,A synthetic amino acid that functions as a skin-conditioning agent and astringent.,Best,5.0
1707,trehalose,"miscellaneous, hydration",Plant sugar that has hydrating properties for skin.,Good,3.0
1708,tremella fuciformis sporocarp extract,"antioxidants, plant extracts",,Best,5.0
1709,tribehenin,"thickeners/emulsifiers, skin-replenishing, emollients","Also known as glyceryl tribehenate, a skin-conditioning agent that is a mixture of glycerin and...",Good,3.0
1710,tribehenin peg-20 esters,"emulsifiers, cleansing agents, emollients","A complex mixture of tribehenin and PEG-20, this ingredient has multiple functions in cosmetic...",Good,3.0
1711,tricaprylin,emollients,Mixture of glycerin and caprylic acid. Has emollient properties and is used as a skin-softening...,Good,3.0
1712,trideceth-12,"cleansing agents, emulsifiers",Trideceth-12 is a synthetic mixture of a fatty alcohol (tridecyl alcohol) and polyethylene glycol that functions as an emulsifier and cleansing agent.,Good,3.0
1713,trideceth-6,emulsifiers,"An emulsifier, meaning it helps keep unlike ingredients (such as oil and water) from separating in an emulsion...",Good,3.0
1714,tridecyl salicylate,miscellaneous,"Salt form of salicylic acid (BHA). When it is no longer an acid (as in this case), salicylic acid...",Good,3.0
1715,tridecyl stearate,"thickeners/emulsifiers, emollients",Used in cosmetics as a thickening agent and emollient.,Good,3.0
1716,tridecyl trimellitate,"thickeners/emulsifiers, texture enhancer, hydration, skin-softening",Used as a skin-conditioning agent and thickening agent.,Good,3.0
1717,triethanolamine,"miscellaneous, emulsifiers","Used in cosmetics as a pH balancer. Like all amines, it has the potential for creating...",Good,3.0
